Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET10(C),Rad(MJ/m2),SoilM(%),Season
1999-11-23,254.0,11.5,309.0,0.0,13.7,19.8,8.0,4.8,11.04,17.2,28.35,39.3,Spring
1999-11-24,286.0,9.9,249.0,0.0,13.2,18.1,6.7,3.8,11.81,16.9,16.08,37.3,Spring
1999-11-25,295.0,7.4,143.0,4.2,16.2,19.2,14.2,12.9,15.72,17.9,9.93,37.5,Spring
1999-11-26,38.0,10.9,361.0,1.2,17.5,21.3,14.7,12.8,15.29,19.5,25.25,37.5,Spring
1999-11-27,6.0,9.8,280.0,65.4,16.5,20.8,14.1,12.7,18.09,18.5,12.33,39.7,Spring
1999-11-28,249.0,15.4,391.0,22.8,13.6,16.9,9.1,6.5,12.23,17.1,21.11,51.9,Spring
1999-11-29,231.0,19.5,474.0,0.0,13.4,18.0,8.1,5.3,11.51,16.1,18.78,41.0,Spring
1999-11-30,222.0,9.9,254.0,0.0,14.9,20.1,8.8,5.8,12.66,17.9,23.89,38.3,Spring
1999-12-01,248.0,13.3,375.0,0.0,14.3,19.8,7.9,5.3,12.1,18.0,22.29,37.6,Summer
1999-12-02,214.0,12.5,362.0,0.0,15.7,18.7,13.0,11.0,14.71,17.9,12.0,36.9,Summer
1999-12-03,249.0,16.2,526.0,0.0,16.5,19.8,12.7,10.8,13.42,18.6,23.92,35.2,Summer
1999-12-04,207.0,12.5,386.0,0.0,17.7,22.3,14.7,14.5,14.42,21.0,29.37,33.0,Summer
1999-12-05,246.0,10.8,324.0,0.0,18.3,23.6,15.2,13.5,14.86,22.8,32.22,30.4,Summer
1999-12-06,231.0,9.8,310.0,0.0,17.7,22.4,13.9,12.2,14.91,22.3,25.99,28.6,Summer
1999-12-07,240.0,11.6,291.0,0.0,16.5,21.4,11.4,8.2,13.46,21.7,27.45,27.6,Summer
1999-12-08,217.0,9.6,220.0,0.0,14.7,20.7,9.2,5.0,12.47,21.0,24.99,26.2,Summer
1999-12-09,122.0,6.9,191.0,0.0,14.2,21.3,5.6,2.3,11.84,21.0,26.65,24.1,Summer
1999-12-10,270.0,9.9,263.0,0.0,15.2,21.6,7.6,5.1,11.6,21.2,30.5,21.9,Summer
1999-12-11,4.0,10.1,260.0,0.0,16.1,22.4,9.4,6.5,14.6,20.9,19.63,19.7,Summer
1999-12-12,264.0,13.1,377.0,0.8,19.2,22.3,16.6,14.8,16.76,21.2,17.03,18.9,Summer
1999-12-13,272.0,22.6,678.0,8.0,18.3,21.3,14.7,12.9,14.92,20.0,21.06,20.5,Summer
1999-12-14,228.0,21.6,773.0,0.4,15.5,18.2,12.8,10.9,10.86,18.4,29.15,17.7,Summer
1999-12-15,219.0,10.5,314.0,0.0,15.5,20.5,11.2,7.9,12.65,19.1,23.84,15.6,Summer
1999-12-16,233.0,10.3,280.0,0.0,15.1,19.9,9.4,6.4,12.8,19.3,18.15,14.3,Summer
1999-12-17,11.0,9.3,217.0,0.0,15.4,20.8,8.8,6.1,13.33,19.8,20.51,13.2,Summer
1999-12-18,7.0,11.0,312.0,0.0,17.1,21.8,9.8,8.3,14.69,20.1,19.02,12.2,Summer
1999-12-19,41.0,10.1,260.0,15.4,17.7,19.1,16.2,16.0,17.41,19.3,5.25,15.9,Summer
1999-12-20,222.0,10.0,299.0,0.5,16.7,20.5,13.9,12.5,14.16,19.2,19.91,16.9,Summer
1999-12-21,204.0,17.4,432.0,16.7,13.5,14.8,11.9,11.7,12.76,16.3,5.56,21.1,Summer
1999-12-22,226.0,18.5,598.0,0.0,16.1,19.4,13.1,9.7,12.95,17.1,21.81,22.0,Summer
1999-12-23,174.0,7.8,236.0,0.0,15.9,21.4,9.9,7.1,13.06,19.6,25.56,19.7,Summer
1999-12-24,197.0,7.4,202.0,0.3,15.7,20.5,10.8,8.2,13.48,20.1,20.62,18.5,Summer
1999-12-25,223.0,13.5,419.0,0.1,15.2,19.7,10.7,7.8,11.39,20.0,29.28,17.5,Summer
1999-12-26,165.0,10.6,319.0,0.0,15.3,20.2,11.4,8.2,12.67,19.9,23.57,15.4,Summer
1999-12-27,69.0,8.1,196.0,0.0,14.3,19.8,9.6,7.2,11.67,20.6,26.47,14.0,Summer
1999-12-28,74.0,8.5,220.0,0.0,14.7,20.1,7.8,5.0,11.68,20.9,26.76,12.6,Summer
1999-12-29,58.0,9.6,261.0,0.0,15.8,20.5,10.2,7.1,12.85,21.2,25.39,11.2,Summer
1999-12-30,40.0,11.5,339.0,0.1,15.9,20.7,10.3,7.1,13.17,20.8,23.24,10.0,Summer
1999-12-31,24.0,16.8,623.0,5.3,16.8,18.3,15.5,14.6,15.51,18.3,7.42,10.9,Summer
2000-01-01,225.0,15.0,238.0,9.8,19.8,25.8,16.3,13.3,17.77,21.0,20.53,15.5,Summer
2000-01-02,265.0,17.5,396.0,0.3,18.7,24.7,15.1,11.9,16.37,20.8,19.61,15.8,Summer
2000-01-03,244.0,14.9,488.0,3.0,16.2,20.0,13.2,11.0,13.26,19.2,21.0,14.9,Summer
2000-01-04,240.0,18.2,511.0,1.7,15.0,18.6,12.0,9.9,11.4,18.1,24.36,14.2,Summer
2000-01-05,218.0,10.7,328.0,0.0,16.5,21.5,11.9,8.3,13.07,19.7,27.07,13.5,Summer
2000-01-06,258.0,8.0,186.0,0.0,16.4,23.2,9.1,6.5,13.91,20.9,21.65,12.6,Summer
2000-01-07,256.0,9.1,195.0,0.0,18.1,22.8,14.5,12.6,15.65,22.0,19.69,11.9,Summer
2000-01-08,60.0,7.5,147.0,0.6,16.7,22.1,12.9,11.3,15.31,21.2,17.05,11.3,Summer
2000-01-09,67.0,8.4,210.0,0.0,17.6,22.9,12.4,10.8,14.25,22.8,28.99,10.8,Summer
2000-01-10,90.0,10.9,330.0,0.0,17.9,21.4,13.7,11.2,15.09,22.3,21.33,9.9,Summer
2000-01-11,69.0,13.9,468.0,0.3,17.5,20.5,15.0,12.9,14.44,21.3,22.24,9.0,Summer
2000-01-12,77.0,12.9,445.0,0.5,17.0,19.9,15.6,14.9,14.93,20.1,14.99,8.2,Summer
2000-01-13,72.0,11.5,370.0,0.0,17.3,21.2,12.2,8.8,14.48,20.7,20.9,7.8,Summer
2000-01-14,63.0,7.8,195.0,0.0,16.4,22.8,9.4,5.9,12.83,22.2,31.51,7.1,Summer
2000-01-15,100.0,8.4,243.0,0.0,16.9,22.2,11.1,9.7,14.41,21.8,20.47,6.5,Summer
2000-01-16,36.0,9.1,335.0,1.7,17.7,20.0,16.7,15.6,16.24,20.4,11.58,6.5,Summer
2000-01-17,243.0,8.4,178.0,1.1,18.7,23.8,15.0,11.6,16.21,22.1,20.52,6.8,Summer
2000-01-18,315.0,8.0,248.0,0.0,18.1,23.6,11.3,8.8,14.86,22.4,22.13,6.5,Summer
2000-01-19,17.0,9.2,170.0,6.2,17.1,22.2,13.7,11.3,16.5,20.9,11.71,7.5,Summer
2000-01-20,261.0,7.0,228.0,0.0,17.9,23.1,12.6,10.2,15.48,20.4,17.83,7.9,Summer
2000-01-21,251.0,6.6,148.0,0.0,17.4,22.8,10.7,8.2,15.52,20.3,13.77,7.1,Summer
2000-01-22,61.0,6.5,174.0,0.0,18.5,26.1,10.9,8.6,16.22,22.2,22.82,6.7,Summer
2000-01-23,3.0,9.9,271.0,0.0,19.7,26.4,12.9,11.4,16.51,23.7,27.85,6.2,Summer
2000-01-24,350.0,14.9,481.0,0.0,21.6,25.8,18.6,16.8,17.51,24.1,24.87,5.6,Summer
2000-01-25,7.0,14.0,362.0,11.8,18.3,20.7,12.3,9.7,17.32,21.0,6.51,8.1,Summer
2000-01-26,215.0,8.2,210.0,0.0,16.5,22.7,9.3,7.6,13.72,19.7,21.41,8.9,Summer
2000-01-27,129.0,7.7,167.0,15.1,15.2,18.9,11.2,9.4,14.65,18.4,9.16,12.8,Summer
2000-01-28,304.0,5.1,151.0,0.0,16.7,21.2,11.9,9.1,15.12,18.8,12.26,12.6,Summer
2000-01-29,3.0,17.0,459.0,0.0,18.2,22.3,14.2,12.7,15.62,20.0,19.52,11.2,Summer
2000-01-30,275.0,17.9,537.0,21.0,19.9,24.4,16.6,15.1,18.36,20.6,12.85,15.5,Summer
2000-01-31,262.0,20.6,618.0,3.5,17.3,21.1,14.6,12.6,13.82,19.3,23.71,18.6,Summer
2000-02-01,235.0,15.0,427.0,0.7,17.0,21.3,13.7,11.7,13.72,19.5,24.2,16.7,Summer
2000-02-02,209.0,13.1,358.0,0.0,16.7,21.1,13.4,10.0,13.9,20.2,22.64,15.2,Summer
2000-02-03,236.0,9.6,275.0,0.0,16.3,21.3,11.3,7.1,13.89,19.8,20.18,13.9,Summer
2000-02-04,219.0,13.1,342.0,0.0,15.2,21.2,8.5,5.1,12.06,19.9,24.83,12.6,Summer
2000-02-05,221.0,10.0,349.0,0.0,18.5,23.3,13.6,9.9,15.92,21.0,19.56,11.3,Summer
2000-02-06,250.0,11.9,311.0,0.0,17.6,23.8,11.9,9.1,14.72,21.5,22.77,10.2,Summer
2000-02-07,244.0,13.5,405.0,0.2,19.0,23.8,13.4,8.8,15.32,22.4,25.85,9.1,Summer
2000-02-08,208.0,15.2,443.0,0.0,17.5,22.0,13.1,9.1,13.96,21.1,24.88,7.8,Summer
2000-02-09,253.0,8.8,201.0,0.0,17.6,24.2,11.0,8.0,15.13,21.8,20.25,7.0,Summer
2000-02-10,215.0,12.4,275.0,0.0,18.0,24.6,10.9,8.3,15.01,21.6,22.62,6.5,Summer
2000-02-11,72.0,8.5,189.0,0.0,19.7,24.4,16.2,13.9,17.71,22.9,18.1,6.1,Summer
2000-02-12,45.0,9.8,291.0,0.0,18.2,23.2,13.1,11.1,15.03,22.5,25.58,5.6,Summer
2000-02-13,32.0,9.4,301.0,0.5,19.0,23.6,13.4,10.8,16.24,22.7,21.74,5.2,Summer
2000-02-14,12.0,12.7,397.0,2.4,20.2,22.5,18.1,17.7,18.85,21.7,8.23,5.1,Summer
2000-02-15,49.0,13.9,549.0,1.9,20.3,22.4,19.3,19.0,18.11,21.2,13.2,6.4,Summer
2000-02-16,65.0,12.1,372.0,14.4,18.8,21.2,15.7,13.4,17.53,20.6,10.9,10.3,Summer
2000-02-17,253.0,13.6,377.0,0.0,19.3,23.7,15.1,12.5,15.56,21.4,25.52,10.5,Summer
2000-02-18,229.0,12.3,299.0,0.0,18.7,25.2,13.5,9.4,15.66,21.9,25.22,8.9,Summer
2000-02-19,215.0,8.6,182.0,0.0,19.5,25.2,15.5,11.4,16.98,23.6,22.59,7.7,Summer
2000-02-20,213.0,7.9,186.0,0.0,18.1,24.3,12.5,9.1,16.07,22.6,18.45,6.9,Summer
2000-02-21,241.0,9.6,238.0,0.0,17.1,24.3,10.2,7.5,14.39,21.9,22.57,6.2,Summer
2000-02-22,195.0,9.2,187.0,0.0,17.4,24.2,9.8,6.8,15.55,21.4,15.94,5.7,Summer
2000-02-23,87.0,7.9,293.0,6.3,18.3,22.6,15.1,13.0,15.78,21.6,22.32,8.2,Summer
2000-02-24,61.0,7.5,167.0,0.0,16.8,23.1,10.4,6.7,14.24,21.8,24.57,6.6,Summer
2000-02-25,197.0,11.4,291.0,0.0,17.3,24.3,10.1,7.2,14.3,21.6,23.95,5.7,Summer
2000-02-26,237.0,10.2,298.0,0.6,19.7,25.0,16.6,12.5,16.97,23.0,22.15,5.4,Summer
2000-02-27,221.0,11.2,234.0,0.0,18.0,24.4,12.4,9.3,14.92,22.8,24.86,5.2,Summer
2000-02-28,242.0,11.1,292.0,0.0,17.7,24.3,12.1,8.5,15.19,21.5,20.38,4.9,Summer
2000-02-29,76.0,6.8,162.0,0.0,17.0,24.1,9.3,6.6,15.38,21.3,16.88,4.6,Summer
2000-03-01,128.0,9.5,239.0,12.8,18.5,21.8,15.3,14.5,17.59,21.0,8.02,5.6,Autumn
2000-03-02,88.0,13.5,383.0,23.5,19.3,22.3,17.4,17.4,18.94,20.4,7.77,17.1,Autumn
2000-03-03,140.0,9.5,294.0,5.2,19.8,25.7,14.9,11.4,17.07,21.5,26.09,16.9,Autumn
2000-03-04,238.0,11.6,290.0,0.0,17.8,23.5,12.1,9.4,14.89,21.0,23.3,14.9,Autumn
2000-03-05,239.0,10.9,307.0,0.0,18.8,22.8,14.6,10.5,16.71,21.4,15.83,13.8,Autumn
2000-03-06,216.0,9.2,237.0,0.0,17.4,22.4,12.5,9.9,15.87,20.6,13.43,13.1,Autumn
2000-03-07,220.0,11.1,323.0,0.1,18.6,23.8,14.2,10.0,16.51,20.8,17.59,12.3,Autumn
2000-03-08,232.0,9.3,249.0,0.0,17.9,23.8,11.9,9.1,15.69,21.3,18.33,11.3,Autumn
2000-03-09,204.0,10.4,318.0,0.0,17.9,23.1,13.8,9.4,15.01,21.7,24.07,10.1,Autumn
2000-03-10,64.0,8.9,212.0,0.0,17.2,23.8,10.1,6.6,14.8,21.8,23.28,9.1,Autumn
2000-03-11,54.0,7.3,179.0,0.3,18.1,23.2,13.5,9.9,15.91,22.4,21.59,8.6,Autumn
2000-03-12,268.0,12.2,321.0,2.0,18.5,23.5,15.6,15.2,16.38,21.6,15.92,9.4,Autumn
2000-03-13,269.0,19.6,580.0,3.4,17.7,22.1,13.2,10.9,15.41,19.6,12.8,9.0,Autumn
2000-03-14,189.0,10.5,250.0,2.7,16.1,21.0,12.6,9.5,13.95,19.1,19.27,11.6,Autumn
2000-03-15,226.0,15.7,448.0,0.2,16.5,20.6,13.0,10.4,13.48,18.5,20.31,10.8,Autumn
2000-03-16,200.0,8.4,230.0,0.0,17.6,23.8,13.3,9.5,15.39,20.3,20.97,9.9,Autumn
2000-03-17,44.0,7.4,167.0,0.0,16.6,22.7,11.0,8.4,14.34,20.9,22.93,9.2,Autumn
2000-03-18,76.0,7.2,192.0,0.0,16.0,23.0,9.8,6.7,14.14,20.5,20.68,8.3,Autumn
2000-03-19,209.0,11.2,274.0,0.0,15.2,21.3,9.6,6.7,12.93,19.4,18.94,7.6,Autumn
2000-03-20,56.0,7.5,208.0,0.0,17.6,23.5,11.2,8.2,15.52,21.1,19.45,6.9,Autumn
2000-03-21,251.0,7.1,204.0,0.0,17.4,21.9,12.6,10.8,16.2,20.0,8.01,6.6,Autumn
2000-03-22,176.0,12.7,366.0,0.1,15.4,19.2,12.7,10.6,13.49,18.6,13.51,6.6,Autumn
2000-03-23,120.0,11.1,372.0,0.0,14.1,18.9,9.2,6.3,11.21,18.3,22.16,5.9,Autumn
2000-03-24,208.0,12.4,368.0,0.0,16.0,22.0,11.5,8.0,13.49,18.7,19.86,5.2,Autumn
2000-03-25,205.0,10.4,246.0,0.0,16.7,23.7,11.0,7.7,14.62,19.2,18.24,4.8,Autumn
2000-03-26,79.0,7.1,210.0,0.0,16.5,21.8,10.9,7.1,14.06,19.5,20.98,4.7,Autumn
2000-03-27,148.0,10.5,123.0,0.0,15.9,23.1,9.5,5.7,14.57,19.1,14.68,4.5,Autumn
2000-03-28,65.0,6.4,138.0,0.0,15.4,21.5,8.9,6.0,14.37,18.4,11.87,4.5,Autumn
2000-03-29,13.0,7.1,144.0,0.0,15.7,22.1,9.8,7.8,15.15,18.1,9.56,4.5,Autumn
2000-03-30,266.0,14.2,321.0,3.3,16.5,21.0,13.0,10.8,14.57,18.0,12.53,6.0,Autumn
2000-03-31,153.0,7.1,191.0,0.0,16.4,23.2,10.8,7.6,14.5,18.2,18.24,5.6,Autumn
2000-04-01,240.0,7.5,160.0,0.0,15.8,23.0,9.0,7.1,14.05,18.3,15.03,4.9,Autumn
2000-04-02,233.0,7.9,220.0,0.0,14.6,20.8,8.3,5.5,13.32,17.2,10.5,4.4,Autumn
2000-04-03,52.0,10.4,315.0,1.9,17.6,22.5,14.0,12.9,16.06,19.1,13.43,4.8,Autumn
2000-04-04,50.0,12.2,375.0,1.5,17.4,19.1,16.3,16.0,16.52,17.8,4.13,6.7,Autumn
2000-04-05,4.0,11.2,229.0,0.0,18.6,23.5,15.2,13.4,17.59,19.1,10.91,6.8,Autumn
2000-04-06,4.0,12.8,403.0,0.3,19.7,23.3,17.8,16.5,18.49,19.5,9.7,6.7,Autumn
2000-04-07,356.0,12.9,424.0,4.4,19.0,21.7,15.6,15.3,17.2,18.8,5.73,7.8,Autumn
2000-04-08,180.0,7.0,195.0,1.2,16.3,20.6,12.7,11.1,14.68,18.2,13.75,10.8,Autumn
2000-04-09,207.0,9.0,183.0,0.0,14.8,20.7,9.9,7.1,13.91,16.9,9.71,9.0,Autumn
2000-04-10,243.0,17.1,446.0,0.1,14.3,18.4,8.6,6.0,11.75,15.7,13.84,8.3,Autumn
2000-04-11,209.0,11.2,285.0,0.0,15.1,19.6,11.7,8.9,13.48,16.2,12.07,7.9,Autumn
2000-04-12,172.0,6.7,171.0,0.0,15.6,19.3,10.7,7.1,14.66,17.1,6.88,7.6,Autumn
2000-04-13,211.0,7.3,168.0,0.0,13.4,19.7,7.4,4.7,12.14,16.2,12.3,7.4,Autumn
2000-04-14,222.0,9.0,231.0,0.0,13.2,19.6,6.8,3.5,11.55,16.0,14.31,7.0,Autumn
2000-04-15,73.0,7.6,135.0,0.0,14.7,20.3,9.6,6.7,13.47,17.2,13.57,6.5,Autumn
2000-04-16,47.0,8.9,234.0,0.0,16.4,21.8,11.7,9.5,15.18,17.9,12.4,6.3,Autumn
2000-04-17,70.0,7.7,246.0,0.6,17.8,22.2,13.6,12.1,16.18,18.8,13.13,6.2,Autumn
2000-04-18,21.0,11.8,352.0,2.9,18.0,20.3,14.8,13.7,16.82,18.3,6.69,6.5,Autumn
2000-04-19,19.0,18.7,379.0,10.5,17.8,18.7,16.6,15.3,17.2,17.9,3.25,11.9,Autumn
2000-04-20,314.0,6.3,193.0,0.2,18.2,22.2,14.2,11.9,16.86,18.2,8.29,10.9,Autumn
2000-04-21,62.0,12.2,274.0,83.3,16.2,17.7,14.7,13.7,18.0,17.3,2.83,19.1,Autumn
2000-04-22,218.0,12.2,310.0,2.1,14.3,18.1,8.0,4.1,12.93,16.1,10.02,18.6,Autumn
2000-04-23,274.0,15.9,367.0,6.1,13.4,17.5,8.1,6.4,12.7,14.3,4.11,18.5,Autumn
2000-04-24,262.0,15.2,541.0,5.0,14.5,18.6,11.0,9.7,12.53,14.5,13.59,19.4,Autumn
2000-04-25,214.0,13.2,353.0,6.6,10.9,15.3,7.6,3.8,10.29,13.2,9.39,20.3,Autumn
2000-04-26,239.0,16.7,413.0,0.2,13.6,18.5,8.5,3.1,12.17,13.1,11.35,18.5,Autumn
2000-04-27,230.0,10.3,263.0,0.0,15.0,20.2,9.5,5.5,13.43,15.0,13.55,17.3,Autumn
2000-04-28,211.0,9.1,226.0,0.0,14.4,16.3,10.1,9.1,13.25,14.6,4.91,17.0,Autumn
2000-04-29,63.0,5.1,142.0,0.0,13.1,19.0,7.8,2.6,12.9,14.8,10.59,16.7,Autumn
2000-04-30,66.0,4.9,126.0,0.0,13.8,18.9,7.5,3.6,13.57,15.1,7.82,16.8,Autumn
2000-05-01,245.0,9.1,224.0,0.0,13.6,18.3,9.7,7.1,12.54,15.4,10.48,16.7,Autumn
2000-05-02,214.0,13.8,338.0,0.0,15.1,18.5,12.9,7.6,13.62,15.9,12.52,16.5,Autumn
2000-05-03,201.0,14.4,317.0,0.0,15.8,19.9,12.9,8.4,14.6,15.7,10.78,17.0,Autumn
2000-05-04,250.0,5.8,158.0,0.0,14.8,19.3,9.7,5.2,13.95,16.3,9.9,19.7,Autumn
2000-05-05,213.0,6.3,184.0,0.0,14.4,19.8,9.0,4.9,13.65,16.0,10.43,18.1,Autumn
2000-05-06,74.0,4.9,123.0,0.0,12.5,18.5,6.0,2.6,12.41,14.6,8.5,17.9,Autumn
2000-05-07,295.0,17.8,448.0,6.9,16.8,19.2,12.0,10.9,15.64,16.2,3.16,19.5,Autumn
2000-05-08,241.0,15.0,472.0,2.6,15.0,17.1,13.6,11.3,13.76,15.7,8.2,21.9,Autumn
2000-05-09,60.0,13.9,506.0,7.1,15.2,17.0,13.7,13.2,14.77,15.2,4.92,24.0,Autumn
2000-05-10,86.0,11.3,410.0,2.7,15.9,18.9,13.7,11.8,15.38,15.0,6.94,23.1,Autumn
2000-05-11,75.0,15.0,523.0,11.0,16.5,18.5,15.0,13.6,16.21,15.9,5.11,25.7,Autumn
2000-05-12,40.0,17.5,513.0,36.2,18.6,21.5,16.3,16.2,19.39,17.9,5.32,38.1,Autumn
2000-05-13,15.0,12.9,413.0,0.0,18.4,20.3,16.4,16.1,17.91,17.6,5.16,25.7,Autumn
2000-05-14,239.0,16.3,505.0,4.0,15.3,17.0,13.2,10.8,14.12,16.5,7.85,26.8,Autumn
2000-05-15,267.0,10.5,331.0,0.4,14.3,17.7,11.3,7.5,13.67,15.0,7.24,25.9,Autumn
2000-05-16,242.0,18.1,439.0,1.2,14.0,18.8,9.6,6.0,13.18,14.7,8.61,25.9,Autumn
2000-05-17,226.0,11.6,289.0,0.0,11.9,16.4,8.7,4.3,11.33,12.6,9.57,26.0,Autumn
2000-05-18,218.0,7.8,206.0,0.0,12.3,17.0,9.2,5.6,12.21,13.2,7.45,26.0,Autumn
2000-05-19,265.0,7.4,211.0,0.0,12.9,16.8,10.8,7.0,12.7,13.9,7.07,25.9,Autumn
2000-05-20,230.0,10.1,322.0,0.0,13.0,18.1,8.1,3.8,12.54,13.3,8.23,25.8,Autumn
2000-05-21,267.0,6.7,180.0,10.3,11.9,17.2,7.9,4.0,12.36,12.8,5.69,27.1,Autumn
2000-05-22,204.0,10.8,311.0,0.0,12.5,15.5,8.6,4.8,11.52,12.4,9.43,27.8,Autumn
2000-05-23,212.0,10.9,269.0,0.0,13.4,17.0,10.6,6.4,12.89,12.9,8.03,27.3,Autumn
2000-05-24,75.0,5.3,123.0,0.0,11.4,17.8,5.7,2.9,11.33,12.3,11.2,27.1,Autumn
2000-05-25,49.0,6.4,149.0,1.9,12.2,16.2,8.2,5.3,12.33,12.8,7.3,27.1,Autumn
2000-05-26,94.0,7.9,218.0,2.4,13.0,16.2,9.2,5.2,13.02,12.7,5.84,27.7,Autumn
2000-05-27,74.0,8.2,232.0,8.4,13.4,16.9,10.0,6.1,13.26,13.2,9.68,30.1,Autumn
2000-05-28,46.0,8.7,282.0,0.1,13.9,17.1,11.4,8.2,13.93,13.3,6.48,28.5,Autumn
2000-05-29,45.0,14.2,536.0,2.6,15.3,16.5,12.4,9.0,14.94,13.7,3.29,28.3,Autumn
2000-05-30,34.0,15.6,404.0,35.9,14.1,16.5,9.3,7.0,15.51,14.7,3.39,49.8,Autumn
2000-05-31,343.0,9.9,199.0,0.3,12.1,17.1,5.6,4.3,11.24,12.8,8.83,32.9,Autumn
2000-06-01,317.0,15.2,377.0,14.4,14.9,17.6,11.4,10.1,14.6,14.2,6.18,42.5,Winter
2000-06-02,282.0,18.5,442.0,0.1,13.5,17.9,9.8,6.4,12.46,12.7,9.99,32.3,Winter
2000-06-03,358.0,13.1,300.0,8.7,13.3,17.0,8.6,6.5,12.96,12.7,4.9,34.9,Winter
2000-06-04,277.0,24.0,727.0,8.2,11.6,14.0,9.6,7.9,10.82,11.9,6.14,37.4,Winter
2000-06-05,254.0,22.2,876.0,0.3,12.9,15.3,11.6,9.4,11.54,11.2,7.66,32.7,Winter
2000-06-06,247.0,9.7,251.0,7.6,12.3,15.9,9.6,4.7,12.55,11.3,5.96,35.4,Winter
2000-06-07,277.0,9.1,224.0,2.2,11.4,16.0,8.7,5.4,11.45,11.7,7.35,33.7,Winter
2000-06-08,223.0,10.4,297.0,7.5,10.9,15.2,7.3,2.1,10.86,11.0,10.17,39.4,Winter
2000-06-09,173.0,6.7,171.0,1.2,8.7,13.9,4.3,-0.1,9.26,9.6,6.19,33.0,Winter
2000-06-10,254.0,11.3,262.0,2.0,9.1,15.0,2.8,-0.8,9.19,9.6,6.12,32.4,Winter
2000-06-11,263.0,16.7,339.0,5.3,10.3,16.3,3.9,0.5,10.26,10.2,6.39,34.2,Winter
2000-06-12,219.0,10.7,217.0,0.8,8.7,12.0,3.9,0.2,8.67,10.3,5.09,34.1,Winter
2000-06-13,185.0,15.2,303.0,11.6,6.8,11.2,2.9,-1.5,6.98,7.8,9.68,41.6,Winter
2000-06-14,222.0,10.0,243.0,0.1,7.7,13.9,2.0,-1.1,7.87,7.6,6.94,33.7,Winter
2000-06-15,212.0,8.5,230.0,0.0,10.2,15.7,4.9,1.8,10.23,9.0,6.85,33.3,Winter
2000-06-16,225.0,5.5,153.0,0.0,9.1,15.6,3.0,0.1,9.32,8.7,7.47,32.9,Winter
2000-06-17,232.0,9.7,252.0,0.0,11.7,14.1,10.0,8.0,11.64,10.9,3.83,32.9,Winter
2000-06-18,260.0,14.7,504.0,0.0,12.9,16.4,9.5,6.8,12.21,11.4,6.38,32.8,Winter
2000-06-19,232.0,12.2,287.0,0.1,12.1,14.5,9.5,5.4,11.77,11.3,5.41,32.9,Winter
2000-06-20,202.0,6.3,135.0,0.0,11.3,14.0,9.2,7.9,11.53,11.4,3.59,32.9,Winter
2000-06-21,71.0,5.2,154.0,0.0,10.9,14.6,7.0,5.1,11.28,11.2,5.37,32.8,Winter
